curated_smiles,receptor,pChEMBL,molecule_chembl_id
Cc1cccc(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1,D2,6.130768280269024,CHEMBL4532712
Cc1cccc(S(=O)(=O)CC2CCN(CCCc3noc4cc(F)ccc34)C2)c1,5HT2A,8.230032198670557,CHEMBL5080305
Cc1cccc(S(=O)(=O)CC2CCN(CCCc3noc4cc(F)ccc34)C2)c1,5HT6,7.709965388637482,CHEMBL5080305
Cc1cccc(S(=O)(=O)CC2CCN(CCCc3noc4cc(F)ccc34)C2)c1,D2,7.029978734171634,CHEMBL5080305
Cc1cccc(S(=O)(=O)N(C)C2CCN(C)CC2)c1,5HT2A,5.462180904926726,CHEMBL1933411
Cc1cccc(S(=O)(=O)N(C)[C@H](C)CCN2CCC(C)CC2)c1,5HT1A,5.100015437450609,CHEMBL12264
Cc1cccc(S(=O)(=O)N(C)[C@H](C)CCN2CCC(C)CC2)c1,5HT2A,4.800000052738446,CHEMBL12264
Cc1cccc(S(=O)(=O)N(C)[C@H](C)CCN2CCC(C)CC2)c1,5HT6,4.800000052738446,CHEMBL12264
Cc1cccc(S(=O)(=O)N(C)[C@H](C)CCN2CCC(C)CC2)c1,D2,5.400004004236241,CHEMBL12264
Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,5HT1A,6.0,CHEMBL12624
Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,5HT2A,5.300000202445418,CHEMBL12624
Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,D2,5.800000874803203,CHEMBL12624
Cc1cccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,H1,7.50003813440381,CHEMBL2171042
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,5HT1A,6.769551078621726,CHEMBL4099997
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,5HT6,6.443697499232712,CHEMBL4099997
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,D2,7.251811972993799,CHEMBL4099997
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,5HT1A,8.221848749616356,CHEMBL4080369
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,5HT6,6.6777807052660805,CHEMBL4080369
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,D2,8.602059991327963,CHEMBL4080369
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,5HT1A,7.017728766960431,CHEMBL4075673
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,5HT6,6.6020599913279625,CHEMBL4075673
Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,D2,8.522878745280337,CHEMBL4075673
Cc1cccc(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,5HT2A,8.67778070526608,CHEMBL3289992
Cc1cccc(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,5HT6,6.853871964321762,CHEMBL3289992
Cc1cccc(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,D2,7.769551078621726,CHEMBL3289992
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3noc4ccccc34)CC2)c1,5HT2A,7.585026652029182,CHEMBL3289968
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3noc4ccccc34)CC2)c1,5HT6,7.060480747381382,CHEMBL3289968
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3noc4ccccc34)CC2)c1,D2,7.356547323513812,CHEMBL3289968
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1,5HT2A,9.397940008672036,CHEMBL3289944
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1,5HT6,7.0,CHEMBL3289944
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1,D2,8.060480747381382,CHEMBL3289944
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,5HT1A,6.958607314841775,CHEMBL4081987
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,5HT6,7.0,CHEMBL4081987
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,D2,7.173925197299173,CHEMBL4081987
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,5HT1A,8.301029995663981,CHEMBL4077040
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,5HT6,7.443697499232712,CHEMBL4077040
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,D2,8.259637310505756,CHEMBL4077040
